doi	title	journal	year	publisher	authors	url	publication_type	nature_portfolio	query_ids	sources
10.1016/j.cj.2018.12.004	Genetic variations in plant architecture traits in cotton (Gossypium hirsutum) revealed by a genome-wide association study	The Crop Journal	2019	Elsevier BV	Wen, Tianwang; Dai, Baosheng; Wang, Tao; Liu, Xinxin; You, Chunyuan; Lin, Zhongxu	https://doi.org/10.1016/j.cj.2018.12.004	journal-article	false	plant_crop	crossref
10.1007/s11033-019-04768-w	Genome survey and development of 18 microsatellite markers to assess genetic diversity in Spondias tuberosa Arruda Câmara (Anacardiaceae) and cross-amplification in congeneric species	Molecular Biology Reports	2019	Springer Science and Business Media LLC	Balbino, Eliane; Martins, Gleica; Morais, Suzyanne; Almeida, Cicero	https://doi.org/10.1007/s11033-019-04768-w	journal-article	false	cross_species	crossref
10.1186/s13059-019-1719-y	Genome-wide analysis of DNA replication timing in single cells: Yes! We’re all individuals	Genome Biology	2019	Springer Science and Business Media LLC	Donaldson, Anne D.; Nieduszynski, Conrad A.	https://doi.org/10.1186/s13059-019-1719-y	journal-article	false	dna_genome_language_model;gpn_msa	crossref
10.1212/nxg.0000000000000355	Genome-wide Brain DNA methylation analysis suggests epigenetic reprogramming in Parkinson disease	Neurology Genetics	2019	Ovid Technologies (Wolters Kluwer Health)		https://doi.org/10.1212/nxg.0000000000000355	journal-article	false	gpn_msa	crossref
10.18240/ijo.2019.01.06	Genome-wide DNA hypermethylation and homocysteine increase a risk for myopia	International Journal of Ophthalmology	2019	Press of International Journal of Ophthalmology (IJO Press)		https://doi.org/10.18240/ijo.2019.01.06	journal-article	false	gpn_msa	crossref
10.1002/humu.23833	Genome‐wide DNA methylation and RNA analyses enable reclassification of two variants of uncertain significance in a patient with clinical Kabuki syndrome	Human Mutation	2019	Wiley	Aref‐Eshghi, Erfan; Bourque, Danielle K.; Kerkhof, Jennifer; Carere, Deanna Alexis; Ainsworth, Peter; Sadikovic, Bekim; Armour, Christine M.; Lin, Hanxin	https://doi.org/10.1002/humu.23833	journal-article	false	gpn_msa	crossref
10.1021/acsomega.9b01613	Genome-Wide DNA Methylation Model for the Diagnosis of Prostate Cancer	ACS Omega	2019	American Chemical Society (ACS)	Nikas, Jason B.; Nikas, Emily G.	https://doi.org/10.1021/acsomega.9b01613	journal-article	false	dna_genome_language_model;gpn_msa	crossref
10.3835/plantgenome2018.04.0019	"Genome‐wide Identification and
                    <i>in silico</i>
                    Analysis of PHT1 Family Genes and Proteins in
                    <i>Setaria viridis</i>
                    : The Best Model to Study Nutrient Transport in Millets"	The Plant Genome	2019	Wiley	Ceasar, S. Antony	https://doi.org/10.3835/plantgenome2018.04.0019	journal-article	false	agront;plant_crop;plantcaduceus	crossref
10.1021/acs.biochem.9b00782	Genome-Wide Mapping of Oxidative DNA Damage via Engineering of 8-Oxoguanine DNA Glycosylase	Biochemistry	2019	American Chemical Society (ACS)	Fang, Yuxin; Zou, Peng	https://doi.org/10.1021/acs.biochem.9b00782	journal-article	false	gpn_msa	crossref
10.1007/s11033-019-05044-7	Genome-wide mining of microsatellites in king cobra (Ophiophagus hannah) and cross-species development of tetranucleotide SSR markers in Chinese cobra (Naja atra)	Molecular Biology Reports	2019	Springer Science and Business Media LLC	Liu, Wencong; Xu, Yongtao; Li, Zekun; Fan, Jun; Yang, Yi	https://doi.org/10.1007/s11033-019-05044-7	journal-article	false	cross_species	crossref
10.1186/s13059-019-1683-6	Genome-wide nucleotide patterns and potential mechanisms of genome divergence following domestication in maize and soybean	Genome Biology	2019	Springer Science and Business Media LLC	Wang, Jinyu; Li, Xianran; Do Kim, Kyung; Scanlon, Michael J.; Jackson, Scott A.; Springer, Nathan M.; Yu, Jianming	https://doi.org/10.1186/s13059-019-1683-6	journal-article	false	nucleotide_tokenizer	crossref
10.1093/gbe/evz128	Genome-Wide Single-Nucleotide Polymorphism Data Unveil Admixture of Chinese Indigenous Chicken Breeds with Commercial Breeds	Genome Biology and Evolution	2019	Oxford University Press (OUP)	Nie, Changsheng; Almeida, Pedro; Jia, Yaxiong; Bao, Haigang; Ning, Zhonghua; Qu, Lujiang	https://doi.org/10.1093/gbe/evz128	journal-article	false	nucleotide_tokenizer	crossref
10.35940/ijrte.d8970.118419	Genomic and Proteomic Semantic Annotations Integrating Cross Ontology	International Journal of Recent Technology and Engineering (IJRTE)	2019	Blue Eyes Intelligence Engineering and Sciences Engineering and Sciences Publication - BEIESP	K*, Karthik; Rajaprakash, S.; S, R.jaichandran; Alam, Fayas; Mathew, Cris	https://doi.org/10.35940/ijrte.d8970.118419	journal-article	false	genomic_foundation_model	crossref
10.1038/s41477-019-0532-7	Genomic futurology	Nature Plants	2019	Springer Science and Business Media LLC	Surridge, Chris	https://doi.org/10.1038/s41477-019-0532-7	journal-article	true	gpn_plants	crossref
10.1007/s00705-019-04395-7	Genomic sequence and host range studies reveal considerable variation within the species Arracacha virus B	Archives of Virology	2019	Springer Science and Business Media LLC	Jones, Roger A. C.; Fox, Adrian; Boonham, Neil; Adams, Ian P.	https://doi.org/10.1007/s00705-019-04395-7	journal-article	false	hyenadna	crossref
10.1038/s41477-019-0359-2	High-efficiency generation of fertile transplastomic Arabidopsis plants	Nature Plants	2019	Springer Science and Business Media LLC	Ruf, Stephanie; Forner, Joachim; Hasse, Claudia; Kroop, Xenia; Seeger, Stefanie; Schollbach, Laura; Schadach, Anne; Bock, Ralph	https://doi.org/10.1038/s41477-019-0359-2	journal-article	true	gpn_plants	crossref
10.1016/j.jgg.2019.03.009	Human mitochondrial DNA diseases and Drosophila models	Journal of Genetics and Genomics	2019	Elsevier BV	Chen, Zhe; Zhang, Fan; Xu, Hong	https://doi.org/10.1016/j.jgg.2019.03.009	journal-article	false	nucleotide_transformer	crossref
10.1186/s12864-019-5820-0	Identifying genetic determinants of complex phenotypes from whole genome sequence data	BMC Genomics	2019	Springer Science and Business Media LLC	Long, George S.; Hussen, Mohammed; Dench, Jonathan; Aris-Brosou, Stéphane	https://doi.org/10.1186/s12864-019-5820-0	journal-article	false	long_context_genome	crossref
10.1080/24701394.2018.1544248	Implementing a new variant load model to investigate the role of mtDNA in oxidative stress and inflammation in a bi-ethnic cohort: the SABPA study	Mitochondrial DNA Part A	2019	Informa UK Limited	Venter, Marianne; Malan, Leone; Elson, Joanna L.; van der Westhuizen, Francois H.	https://doi.org/10.1080/24701394.2018.1544248	journal-article	false	variant_effect	crossref
10.3233/af-190900	Information leakage in financial machine learning research	Algorithmic Finance	2019	SAGE Publications	David, Zachary	https://doi.org/10.3233/af-190900	journal-article	false	homology_leakage	crossref
10.1159/000495833	Insights into Emydid Turtle Cytogenetics: The European Pond Turtle as a Model Species	Cytogenetic and Genome Research	2019	S. Karger AG	Iannucci, Alessio; Svartman, Marta; Bellavita, Massimo; Chelazzi, Guido; Stanyon, Roscoe; Ciofi, Claudio	https://doi.org/10.1159/000495833	journal-article	false	dnabert2	crossref
10.1093/bioinformatics/btz352	Integrating regulatory DNA sequence and gene expression to predict genome-wide chromatin accessibility across cellular contexts	Bioinformatics	2019	Oxford University Press (OUP)	Nair, Surag; Kim, Daniel S; Perricone, Jacob; Kundaje, Anshul	https://doi.org/10.1093/bioinformatics/btz352	journal-article	false	alphagenome;regulatory_genomics	crossref
10.1016/j.lrp.2019.101908	Introducing article numbering to Long Range Planning	Long Range Planning	2019	Elsevier BV		https://doi.org/10.1016/j.lrp.2019.101908	journal-article	false	caduceus;enformer;hyenadna	crossref
10.3390/plants8030067	Isoform-Specific NO Synthesis by Arabidopsis thaliana Nitrate Reductase	Plants	2019	MDPI AG	Mohn, Marie Agatha; Thaqi, Besarta; Fischer-Schrader, Katrin	https://doi.org/10.3390/plants8030067	journal-article	false	gpn_plants	crossref
10.21769/bioprotoc.1010558	KAPA RNA HyperPrep Kit with RiboErase（KK8560, KK8561）: Evaluation test for selecting a library preparation kit for effective standard RNA-Seq~rRNA depletion RNA-Seq using embryonic stem cells (ES cells) and primitive endoderm cells (PrE cells)~	BIO-PROTOCOL	2019	Bio-Protocol, LLC		https://doi.org/10.21769/bioprotoc.1010558	journal-article	false	borzoi	crossref
10.21769/bioprotoc.1010557	KAPA Stranded mRNA-Seq Kit（KK8420）: de novo RNA-seq (stranded mRNA-Seq) from total RNA derived from invertebrates（stranded mRNA-Seq）	BIO-PROTOCOL	2019	Bio-Protocol, LLC		https://doi.org/10.21769/bioprotoc.1010557	journal-article	false	borzoi	crossref
10.1186/s13073-019-0700-4	Keeping up with the genomes: scaling genomic variant interpretation	Genome Medicine	2019	Springer Science and Business Media LLC	Rehm, Heidi L.; Fowler, Douglas M.	https://doi.org/10.1186/s13073-019-0700-4	journal-article	false	genome_scaling	crossref
10.57262/die/1548212428	Large data global regularity for the $2+1$-dimensional equivariant Faddeev model	Differential and Integral Equations	2019	Khayyam Publishing, Inc	Geba, Dan-Andrei; Grillakis, Manoussos G.	https://doi.org/10.57262/die/1548212428	journal-article	false	reverse_complement	crossref
10.1016/j.compchemeng.2019.06.006	Learning and predicting operation strategies by sequence mining and deep learning	Computers &amp; Chemical Engineering	2019	Elsevier BV	Dorgo, Gyula; Abonyi, Janos	https://doi.org/10.1016/j.compchemeng.2019.06.006	journal-article	false	sequence_to_function	crossref
10.1016/j.lrp.2018.08.003	Leveraging global sources of knowledge for business model innovation	Long Range Planning	2019	Elsevier BV	von Delft, Stephan; Kortmann, Sebastian; Gelhard, Carsten; Pisani, Niccolò	https://doi.org/10.1016/j.lrp.2018.08.003	journal-article	false	caduceus	crossref
10.18524/2414-0627.2019.26.181507	LIBERAL-HYBRID MODEL OF LANGUAGE ISSUE IN THE LAW OF UKRAINE «ON ENSURING THE FUNCTIONING OF UKRAINIAN LANGUAGE AS A STATE LANGUAGE»	Opera in linguistica ukrainiana	2019	Odesa I.I. Mechnikov National University	Фаріон, І. Д.	https://doi.org/10.18524/2414-0627.2019.26.181507	journal-article	false	genome_scaling	crossref
10.1038/s41576-019-0128-0	Long-range enhancer–promoter contacts in gene expression control	Nature Reviews Genetics	2019	Springer Science and Business Media LLC	Schoenfelder, Stefan; Fraser, Peter	https://doi.org/10.1038/s41576-019-0128-0	journal-article	true	enformer	crossref
10.1038/s41589-019-0372-9	Long-range temporal coordination of gene expression in synthetic microbial consortia	Nature Chemical Biology	2019	Springer Science and Business Media LLC	Kim, Jae Kyoung; Chen, Ye; Hirning, Andrew J.; Alnahhas, Razan N.; Josić, Krešimir; Bennett, Matthew R.	https://doi.org/10.1038/s41589-019-0372-9	journal-article	true	enformer	crossref
10.1186/s13073-019-0682-2	Low coverage whole genome sequencing enables accurate assessment of common variants and calculation of genome-wide polygenic scores	Genome Medicine	2019	Springer Science and Business Media LLC	Homburger, Julian R.; Neben, Cynthia L.; Mishne, Gilad; Zhou, Alicia Y.; Kathiresan, Sekar; Khera, Amit V.	https://doi.org/10.1186/s13073-019-0682-2	journal-article	false	gpn_msa	crossref
10.3835/plantgenome2018.05.0023	Machine Learning as an Effective Method for Identifying True Single Nucleotide Polymorphisms in Polyploid Plants	The Plant Genome	2019	Wiley	Korani, Walid; Clevenger, Josh P.; Chu, Ye; Ozias‐Akins, Peggy	https://doi.org/10.3835/plantgenome2018.05.0023	journal-article	false	nucleotide_tokenizer	crossref
10.1016/j.cpc.2019.07.002	Mixed-precision arithmetic in the ENDGame dynamical core of the Unified Model, a numerical weather prediction and climate model code	Computer Physics Communications	2019	Elsevier BV	Maynard, C.M.; Walters, D.N.	https://doi.org/10.1016/j.cpc.2019.07.002	journal-article	false	alphagenome	crossref
10.5539/ijef.v11n9p46	Modeling Long Range Dependence in Wheat Food Price Returns	International Journal of Economics and Finance	2019	Canadian Center of Science and Education	Musunuru, Naveen	https://doi.org/10.5539/ijef.v11n9p46	journal-article	false	hyenadna	crossref
10.1007/s41048-019-0089-z	Modeling the relationship of diverse genomic signatures to gene expression levels with the regulation of long-range enhancer-promoter interactions	Biophysics Reports	2019	Springer Science and Business Media LLC	Feng, Zhen-Xing; Li, Qian-Zhong; Meng, Jian-Jun	https://doi.org/10.1007/s41048-019-0089-z	journal-article	false	enformer;hyenadna	crossref
10.2139/ssrn.3476418	Modelling of Microstructure−Property Linkage Using Persistent Homology Analysis and Machine Learning	SSRN Electronic Journal	2019	Elsevier BV	Wang, Zhi-Lei; Ogawa, Toshio; Adachi, Yoshitaka	https://doi.org/10.2139/ssrn.3476418	journal-article	false	homology_leakage	crossref
10.1186/s12864-019-5488-5	MRCNN: a deep learning model for regression of genome-wide DNA methylation	BMC Genomics	2019	Springer Science and Business Media LLC	Tian, Qi; Zou, Jianxiao; Tang, Jianxiong; Fang, Yuan; Yu, Zhongli; Fan, Shicai	https://doi.org/10.1186/s12864-019-5488-5	journal-article	false	dna_genome_language_model;gpn_msa;regulatory_genomics	crossref
10.1186/s12859-019-2624-9	Multispecies genome-wide analysis defines the MAP3K gene family in Gossypium hirsutum and reveals conserved family expansions	BMC Bioinformatics	2019	Springer Science and Business Media LLC	Bokros, Norbert; Popescu, Sorina C.; Popescu, George V.	https://doi.org/10.1186/s12859-019-2624-9	journal-article	false	gpn_msa	crossref
10.1186/s13059-019-1856-3	NanoSatellite: accurate characterization of expanded tandem repeat length and sequence through whole genome long-read sequencing on PromethION	Genome Biology	2019	Springer Science and Business Media LLC	De Roeck, Arne; De Coster, Wouter; Bossaerts, Liene; Cacace, Rita; De Pooter, Tim; Van Dongen, Jasper; D’Hert, Svenn; De Rijk, Peter; Strazisar, Mojca; Van Broeckhoven, Christine; Sleegers, Kristel	https://doi.org/10.1186/s13059-019-1856-3	journal-article	false	long_context_genome	crossref
10.1093/gbe/evz281	Near-Random Distribution of Chromosome-Derived Circular DNA in the Condensed Genome of Pigeons and the Larger, More Repeat-Rich Human Genome	Genome Biology and Evolution	2019	Oxford University Press (OUP)	Møller, Henrik Devitt; Ramos-Madrigal, Jazmín; Prada-Luengo, Iñigo; Gilbert, M Thomas P; Regenberg, Birgitte	https://doi.org/10.1093/gbe/evz281	journal-article	false	grover	crossref
10.3389/fmicb.2019.01603	Next Generation DNA-Seq and Differential RNA-Seq Allow Re-annotation of the Pyrococcus furiosus DSM 3638 Genome and Provide Insights Into Archaeal Antisense Transcription	Frontiers in Microbiology	2019	Frontiers Media SA	Grünberger, Felix; Reichelt, Robert; Bunk, Boyke; Spröer, Cathrin; Overmann, Jörg; Rachel, Reinhard; Grohmann, Dina; Hausner, Winfried	https://doi.org/10.3389/fmicb.2019.01603	journal-article	false	borzoi	crossref
10.1136/gutjnl-2018-317516	Non-coding DNA in IBD: from sequence variation in DNA regulatory elements to novel therapeutic potential	Gut	2019	BMJ	Meddens, Claartje Aleid; van der List, Amy Catharina Johanna; Nieuwenhuis, Edward Eelco Salomon; Mokry, Michal	https://doi.org/10.1136/gutjnl-2018-317516	journal-article	false	alphagenome;regulatory_genomics	crossref
10.1075/langct.00012.hu	"Nouns and nominalizations in economics
                    textbooks"	Language, Context and Text. The Social Semiotics Forum	2019	John Benjamins Publishing Company	Hu, Chunyu; Gao, Hongmiao	https://doi.org/10.1075/langct.00012.hu	journal-article	false	phage_long_context	crossref
10.3389/fchem.2019.00597	Novel Tautomerisation Mechanisms of the Biologically Important Conformers of the Reverse Löwdin, Hoogsteen, and Reverse Hoogsteen G*·C* DNA Base Pairs via Proton Transfer: A Quantum-Mechanical Survey	Frontiers in Chemistry	2019	Frontiers Media SA	Brovarets', Ol'ha O.; Oliynyk, Timothy A.; Hovorun, Dmytro M.	https://doi.org/10.3389/fchem.2019.00597	journal-article	false	reverse_complement	crossref
10.1002/bies.201800201	Nucleotide Excision Repair and Transcription‐Associated Genome Instability	BioEssays	2019	Wiley	Apostolou, Zivkos; Chatzinikolaou, Georgia; Stratigi, Kalliopi; Garinis, George A.	https://doi.org/10.1002/bies.201800201	journal-article	false	nucleotide_tokenizer	crossref
10.1007/s11005-019-01236-1	Observables in the equivariant A-model	Letters in Mathematical Physics	2019	Springer Science and Business Media LLC	Bonechi, F.; Cattaneo, A. S.; Iraso, R.; Zabzine, M.	https://doi.org/10.1007/s11005-019-01236-1	journal-article	false	reverse_complement	crossref
10.1075/langct.00010.mar	Once more with feeling	Language, Context and Text. The Social Semiotics Forum	2019	John Benjamins Publishing Company	Martin, James R.	https://doi.org/10.1075/langct.00010.mar	journal-article	false	phage_long_context	crossref
10.1016/j.dnarep.2019.102645	Organization of DNA damage, excision repair, and mutagenesis in chromatin: A genomic perspective	DNA Repair	2019	Elsevier BV	Mao, Peng; Wyrick, John J.	https://doi.org/10.1016/j.dnarep.2019.102645	journal-article	false	genome_scaling	crossref
10.1089/dna.2018.4389	Origin of Coding RNA from Random-Sequence RNA	DNA and Cell Biology	2019	SAGE Publications	Banfalvi, Gaspar	https://doi.org/10.1089/dna.2018.4389	journal-article	false	borzoi	crossref
10.1186/s13100-019-0172-5	Paired-end mappability of transposable elements in the human genome	Mobile DNA	2019	Springer Science and Business Media LLC	Sexton, Corinne E.; Han, Mira V.	https://doi.org/10.1186/s13100-019-0172-5	journal-article	false	grover	crossref
10.1099/mgen.0.000243	Pan-genome analyses of model fungal species	Microbial Genomics	2019	Microbiology Society	McCarthy, Charley G. P.; Fitzpatrick, David A.	https://doi.org/10.1099/mgen.0.000243	journal-article	false	dnabert2	crossref
10.1038/s41596-018-0115-5	Pipelines for cross-species and genome-wide prediction of long noncoding RNA binding	Nature Protocols	2019	Springer Science and Business Media LLC	Lin, Jie; Wen, Yujian; He, Sha; Yang, Xiaoxue; Zhang, Hai; Zhu, Hao	https://doi.org/10.1038/s41596-018-0115-5	journal-article	true	cross_species	crossref
10.1080/15427528.2019.1678541	Plant gene expression control using genome- and epigenome-editing technologies	Journal of Crop Improvement	2019	Informa UK Limited	Miglani, Gurbachan S.; Kaur, Anroop; Kaur, Lovepreet	https://doi.org/10.1080/15427528.2019.1678541	journal-article	false	plant_crop	crossref
10.3389/fpls.2019.00114	Plant Genome Engineering for Targeted Improvement of Crop Traits	Frontiers in Plant Science	2019	Frontiers Media SA	Sedeek, Khalid E. M.; Mahas, Ahmed; Mahfouz, Magdy	https://doi.org/10.3389/fpls.2019.00114	journal-article	false	plant_crop	crossref
10.1186/s12864-019-6083-5	Ploidy level and nucleotide variations in inflorescence dichotomous cultivars of plantain (Musa spp. AAB genome)	BMC Genomics	2019	Springer Science and Business Media LLC	Brisibe, Ebiamadon Andi; Ekanem, Norah Godwin	https://doi.org/10.1186/s12864-019-6083-5	journal-article	false	nucleotide_tokenizer;nucleotide_transformer	crossref
10.1016/j.jval.2019.04.1559	PNS202 THE DEVELOPMENT OF A HEALTH ECONOMIC MODEL MARKUP LANGUAGE AS A FOUNDATION FOR MODEL TRANSPARENCY	Value in Health	2019	Elsevier BV	Kondic, A.	https://doi.org/10.1016/j.jval.2019.04.1559	journal-article	false	genomic_foundation_model	crossref
10.1371/journal.pcbi.1007227	PRAS: Predicting functional targets of RNA binding proteins based on CLIP-seq peaks	PLOS Computational Biology	2019	Public Library of Science (PLoS)	Lin, Jianan; Zhang, Yuping; Frankel, Wayne N.; Ouyang, Zhengqing	https://doi.org/10.1371/journal.pcbi.1007227	journal-article	false	borzoi	crossref
10.1007/s40484-019-0154-0	Predicting enhancer‐promoter interaction from genomic sequence with deep neural networks	Quantitative Biology	2019	Wiley	Singh, Shashank; Yang, Yang; Póczos, Barnabás; Ma, Jian	https://doi.org/10.1007/s40484-019-0154-0	journal-article	false	sequence_to_function	crossref
10.1002/humu.23794	Predicting the impact of single nucleotide variants on splicing via sequence‐based deep neural networks and genomic features	Human Mutation	2019	Wiley	Naito, Tatsuhiko	https://doi.org/10.1002/humu.23794	journal-article	false	sequence_to_function	crossref
10.1101/gr.256164.119	Predicting transfer RNA gene activity from sequence and genome context	Genome Research	2019	Cold Spring Harbor Laboratory	Thornlow, Bryan P.; Armstrong, Joel; Holmes, Andrew D.; Howard, Jonathan M.; Corbett-Detig, Russell B.; Lowe, Todd M.	https://doi.org/10.1101/gr.256164.119	journal-article	false	long_context_genome	crossref
10.1016/j.dnarep.2019.102693	R-loop-dependent replication and genomic instability in bacteria	DNA Repair	2019	Elsevier BV	Drolet, Marc; Brochu, Julien	https://doi.org/10.1016/j.dnarep.2019.102693	journal-article	false	genome_scaling	crossref
10.3835/plantgenome2019.01.0002ar	Recipient of 2018 CSSA Editor's Citation for Excellence Named	The Plant Genome	2019	Wiley		https://doi.org/10.3835/plantgenome2019.01.0002ar	journal-article	false	agront;plantcaduceus	crossref
10.1075/langct.00011.fre	Reflection literacy	Language, Context and Text. The Social Semiotics Forum	2019	John Benjamins Publishing Company	French, Ruth	https://doi.org/10.1075/langct.00011.fre	journal-article	false	phage_long_context	crossref
10.1016/j.dnarep.2018.12.001	Repair of protein-linked DNA double strand breaks: Using the adenovirus genome as a model substrate in cell-based assays	DNA Repair	2019	Elsevier BV	Lamarche, Brandon J.; Orazio, Nicole I.; Goben, Brittany; Meisenhelder, Jill; You, Zhongsheng; Weitzman, Matthew D.; Hunter, Tony	https://doi.org/10.1016/j.dnarep.2018.12.001	journal-article	false	dna_genome_language_model	crossref
10.1371/journal.pcbi.1007560	Representation learning of genomic sequence motifs with convolutional neural networks	PLOS Computational Biology	2019	Public Library of Science (PLoS)	Koo, Peter K.; Eddy, Sean R.	https://doi.org/10.1371/journal.pcbi.1007560	journal-article	false	sequence_to_function	crossref
10.3835/plantgenome2019.01.0001rh	Research Highlights	The Plant Genome	2019	Wiley		https://doi.org/10.3835/plantgenome2019.01.0001rh	journal-article	false	agront;plantcaduceus	crossref
10.3835/plantgenome2019.01.0002rh	Research Highlights	The Plant Genome	2019	Wiley		https://doi.org/10.3835/plantgenome2019.01.0002rh	journal-article	false	agront;plantcaduceus	crossref
10.3835/plantgenome2019.01.0003rh	Research Highlights	The Plant Genome	2019	Wiley		https://doi.org/10.3835/plantgenome2019.01.0003rh	journal-article	false	agront;plantcaduceus	crossref
10.1186/s12864-019-5720-3	Scalable optimal Bayesian classification of single-cell trajectories under regulatory model uncertainty	BMC Genomics	2019	Springer Science and Business Media LLC	Hajiramezanali, Ehsan; Imani, Mahdi; Braga-Neto, Ulisses; Qian, Xiaoning; Dougherty, Edward R.	https://doi.org/10.1186/s12864-019-5720-3	journal-article	false	regulatory_genomics	crossref
10.1016/j.dnarep.2019.102647	Scales and mechanisms of somatic mutation rate variation across the human genome	DNA Repair	2019	Elsevier BV	Supek, Fran; Lehner, Ben	https://doi.org/10.1016/j.dnarep.2019.102647	journal-article	false	grover	crossref
10.1186/s13059-019-1681-8	SCRABBLE: single-cell RNA-seq imputation constrained by bulk RNA-seq data	Genome Biology	2019	Springer Science and Business Media LLC	Peng, Tao; Zhu, Qin; Yin, Penghang; Tan, Kai	https://doi.org/10.1186/s13059-019-1681-8	journal-article	false	borzoi	crossref
10.1016/j.lrp.2018.05.003	Searching for innovation: Product, process, and business model innovations and search behavior in established firms	Long Range Planning	2019	Elsevier BV	Snihur, Yuliya; Wiklund, Jonas	https://doi.org/10.1016/j.lrp.2018.05.003	journal-article	false	caduceus	crossref
10.1016/j.gene.2018.10.079	Sequence analysis and expression profiling of the equine ACTN3 gene during exercise in Arabian horses	Gene	2019	Elsevier BV	Ropka-Molik, K.; Stefaniuk-Szmukier, M.; Musiał, A.D.; Piórkowska, K.; Szmatoła, T.	https://doi.org/10.1016/j.gene.2018.10.079	journal-article	false	enformer	crossref
10.1088/1742-6596/1211/1/012024	Sequence to sequence analysis with long short term memory for tourist arrivals prediction	Journal of Physics: Conference Series	2019	IOP Publishing	Rizal, A A; Soraya, S; Tajuddin, M	https://doi.org/10.1088/1742-6596/1211/1/012024	journal-article	false	enformer	crossref
10.1007/s00438-019-01612-5	Single nucleotide polymorphisms in piRNA-pathway genes: an insight into genetic determinants of human diseases	Molecular Genetics and Genomics	2019	Springer Science and Business Media LLC	Roy, Jyoti; Anand, Kalyani; Mohapatra, Swati; Nayak, Rojalin; Chattopadhyay, Trisha; Mallick, Bibekanand	https://doi.org/10.1007/s00438-019-01612-5	journal-article	false	nucleotide_transformer	crossref
10.1371/journal.pone.0216456	SleepEEGNet: Automated sleep stage scoring with sequence to sequence deep learning approach	PLOS ONE	2019	Public Library of Science (PLoS)	Mousavi, Sajad; Afghah, Fatemeh; Acharya, U. Rajendra	https://doi.org/10.1371/journal.pone.0216456	journal-article	false	sequence_to_function	crossref
10.15406/sij.2019.03.00179	Social food to protect by putting in the common good this genomic sequence	Sociology International Journal	2019	MedCrave Group, LLC	Stefanini, Philippe; Gaillard, Sandrine	https://doi.org/10.15406/sij.2019.03.00179	journal-article	false	omnireg_gpt	crossref
10.1038/s41598-019-45581-6	Stacking sequence variations in vaterite resolved by precession electron diffraction tomography using a unified superspace model	Scientific Reports	2019	Springer Science and Business Media LLC	Steciuk, Gwladys; Palatinus, Lukáš; Rohlíček, Jan; Ouhenia, Salim; Chateigner, Daniel	https://doi.org/10.1038/s41598-019-45581-6	journal-article	true	alphagenome	crossref
10.1111/mec.15092	Standing genomic variation within coding and regulatory regions contributes to the adaptive capacity to climate in a foundation tree species	Molecular Ecology	2019	Wiley	Ahrens, Collin W.; Byrne, Margaret; Rymer, Paul D.	https://doi.org/10.1111/mec.15092	journal-article	false	genomic_foundation_model	crossref
10.1134/s0021364019120099	Structural Model of the Relation between Seismic Scalings and the Generalized Scaling Law of Seismicity	JETP Letters	2019	Pleiades Publishing Ltd	Stakhovsky, I. R.	https://doi.org/10.1134/s0021364019120099	journal-article	false	genome_scaling	crossref
10.1093/bioinformatics/btz775	Studying 3D genome evolution using genomic sequence	Bioinformatics	2019	Oxford University Press (OUP)	Mourad, Raphaël	https://doi.org/10.1093/bioinformatics/btz775	journal-article	false	omnireg_gpt	crossref
10.1186/s13059-019-1863-4	Systematic comparative analysis of single-nucleotide variant detection methods from single-cell RNA sequencing data	Genome Biology	2019	Springer Science and Business Media LLC	Liu, Fenglin; Zhang, Yuanyuan; Zhang, Lei; Li, Ziyi; Fang, Qiao; Gao, Ranran; Zhang, Zemin	https://doi.org/10.1186/s13059-019-1863-4	journal-article	false	nucleotide_tokenizer	crossref
10.1038/s42003-019-0488-1	Systematic discovery of conservation states for single-nucleotide annotation of the human genome	Communications Biology	2019	Springer Science and Business Media LLC	Arneson, Adriana; Ernst, Jason	https://doi.org/10.1038/s42003-019-0488-1	journal-article	true	nucleotide_tokenizer	crossref
10.3835/plantgenome2019.01.0001ar	"Thanks to Our Reviewers,
                    <i>The Plant Genome</i>
                    , 2018"	The Plant Genome	2019	Wiley		https://doi.org/10.3835/plantgenome2019.01.0001ar	journal-article	false	agront;plant_crop;plantcaduceus	crossref
10.1007/s00335-019-09800-9	The guanine nucleotide exchange factor, Spata13, influences social behaviour and nocturnal activity	Mammalian Genome	2019	Springer Science and Business Media LLC	Bourbia, Nora; Chandler, Paige; Codner, Gemma; Banks, Gareth; Nolan, Patrick M.	https://doi.org/10.1007/s00335-019-09800-9	journal-article	false	nucleotide_tokenizer	crossref
10.1186/s12864-019-6014-5	The importance of genome sequence quality to microbial comparative genomics	BMC Genomics	2019	Springer Science and Business Media LLC	Smits, Theo H. M.	https://doi.org/10.1186/s12864-019-6014-5	journal-article	false	regulatory_genomics	crossref
10.1075/langct.00006.nav	The language of educational linguistics in Hispanic Latin America	Language, Context and Text. The Social Semiotics Forum	2019	John Benjamins Publishing Company	Navarro, Federico	https://doi.org/10.1075/langct.00006.nav	journal-article	false	phage_long_context	crossref
10.17803/1994-1471.2019.100.3.030-038	The legal regulation of genomic DNA banks in the context of social, cultural and regulatory diversity	Actual Problems of Russian Law	2019	Kutafin Moscow State Law University	Przhilenskiy, V. I.; Vergun, A. A.	https://doi.org/10.17803/1994-1471.2019.100.3.030-038	journal-article	false	genome_scaling	crossref
